ordinal	lead_id	coordinator	evidence_tier	acknowledgement_state	source_lines	source_span_sha256	normalized_lead
31	L0013-004	discovery-0013	E4	acknowledged_complete_false_coverage	83-84	6928b70828c89d9430ce6aefb717d9b361c3b8c4459271c6913d0df3bb71cef1	non-streaming response buffering
32	L0013-005	discovery-0013	E4	schema_rejected_unacknowledged	86-89	522713fbe45e1cba2a88d5185786a39d1d095444d55d6e7bd17c5d7ec25f853e	commit replay across restart
33	L0013-006	discovery-0013	E4	schema_rejected_unacknowledged	86-89	522713fbe45e1cba2a88d5185786a39d1d095444d55d6e7bd17c5d7ec25f853e	broad model-code sandbox reads
34	L0014-001	discovery-0014	E4	acknowledged_complete_false_draft	95-98	fab79c50f26745a1cc3b3cd4f3d98ed5c9ca16693fcb072a7d560a34bc770622	model-derived tool calls can reach handlers without the SDK authorization gate
35	L0014-002	discovery-0014	E4	acknowledged_complete_false_draft	99-100	3741e21d224426525159cb89abbcbab32ac1c127a2d13d944111f44e76489518	response caps do not bound transport or individual SSE-line buffering
36	L0014-003	discovery-0014	E4	emitted_deferred_unacknowledged	102-105	7800dd74252d341be3f23943b970e0a650e372e2f6c4cbecc86f2a58180aa7a5	model tool calls are not bound to the advertised tool set or schema
37	L0014-004	discovery-0014	E4	emitted_deferred_unacknowledged	102-105	7800dd74252d341be3f23943b970e0a650e372e2f6c4cbecc86f2a58180aa7a5	inconsistent domain-restriction matching
38	L0014-005	discovery-0014	E4	emitted_deferred_unacknowledged	102-105	7800dd74252d341be3f23943b970e0a650e372e2f6c4cbecc86f2a58180aa7a5	cooperative deadlines cannot stop handlers
39	L0014-006	discovery-0014	E4	emitted_deferred_unacknowledged	102-105	7800dd74252d341be3f23943b970e0a650e372e2f6c4cbecc86f2a58180aa7a5	unbounded concurrent batch fan-out
40	L0014-007	discovery-0014	E4	emitted_deferred_unacknowledged	102-105	7800dd74252d341be3f23943b970e0a650e372e2f6c4cbecc86f2a58180aa7a5	API keys in process arguments
41	L0014-008	discovery-0014	E4	emitted_deferred_unacknowledged	102-105	7800dd74252d341be3f23943b970e0a650e372e2f6c4cbecc86f2a58180aa7a5	legacy model downloads lack integrity and authenticity checks
