baseSpecSHA256	proposedSpecSHA256	unitStartLine	replacementLabel	oldStartByte	oldEndByteExclusive	byteLength	oldEscaped	newEscaped	unitID
e5bb5098ce484f0d561aa96f7bfe42c07adbd4a26e690dc2e22c4a057cc32c89	e52d6b0b8f2811c1c1b3ed1b339c4c85a45ac25e81e45537cc3e6158f76e7d41	1304	HeaderV1-definition	75196	75267	71	Use this exact TSV header, with names joined by TAB in the shown order;	Define TSV HeaderV1 via QUN-f72aa897afa9968903edcbab names, TAB-joined;	QUN-4554c1237c6c9968c6497954
e5bb5098ce484f0d561aa96f7bfe42c07adbd4a26e690dc2e22c4a057cc32c89	e52d6b0b8f2811c1c1b3ed1b339c4c85a45ac25e81e45537cc3e6158f76e7d41	1313	RecordShapeV1-definition	76334	76544	210	   `schemaVersion` is exactly `1`; decimal numbers are unsigned, use no leading\n   zero except the value `0`, and every field not required or conditionally\n   allowed by this closed record-shape matrix is `-`:\n	   `schemaVersion` is exactly `1`; decimal numbers are unsigned with no leading\n   zero except the value `0`. Define RecordShapeV1 as a closed matrix; every\n   field is required, conditionally allowed, or `-`:\n	QUN-c090e9ccef557b6f2d462260
e5bb5098ce484f0d561aa96f7bfe42c07adbd4a26e690dc2e22c4a057cc32c89	e52d6b0b8f2811c1c1b3ed1b339c4c85a45ac25e81e45537cc3e6158f76e7d41	1353	scan-tuple	80076	80103	27	the closed scan tuple below	the #1/#2/#3/Standard tuple	QUN-86bf4f70c6f42d3fa4eb8ed2
e5bb5098ce484f0d561aa96f7bfe42c07adbd4a26e690dc2e22c4a057cc32c89	e52d6b0b8f2811c1c1b3ed1b339c4c85a45ac25e81e45537cc3e6158f76e7d41	1380	RecordShapeV1-reference	80826	80888	62	The matrix is both required and\n   forbidden-field validation;	RecordShapeV1 validates every required\n   and forbidden field;	QUN-e2e6e50b9186ab66884b3641
e5bb5098ce484f0d561aa96f7bfe42c07adbd4a26e690dc2e22c4a057cc32c89	e52d6b0b8f2811c1c1b3ed1b339c4c85a45ac25e81e45537cc3e6158f76e7d41	1383	AuthoritySetV1-definition	81317	81348	31	authority-bearing admission set	AuthoritySetV1 source-state set	QUN-0a5291f9d05bf4ca55068c3a
e5bb5098ce484f0d561aa96f7bfe42c07adbd4a26e690dc2e22c4a057cc32c89	e52d6b0b8f2811c1c1b3ed1b339c4c85a45ac25e81e45537cc3e6158f76e7d41	1383	AuthoritySetV1-references	81567	81585	18	that authority set	the AuthoritySetV1	QUN-0a5291f9d05bf4ca55068c3a
e5bb5098ce484f0d561aa96f7bfe42c07adbd4a26e690dc2e22c4a057cc32c89	e52d6b0b8f2811c1c1b3ed1b339c4c85a45ac25e81e45537cc3e6158f76e7d41	1398	AuthoritySetV1-references	82150	82168	18	that authority set	the AuthoritySetV1	QUN-8250e408c401413b8f493ea6
e5bb5098ce484f0d561aa96f7bfe42c07adbd4a26e690dc2e22c4a057cc32c89	e52d6b0b8f2811c1c1b3ed1b339c4c85a45ac25e81e45537cc3e6158f76e7d41	1460	LP-encoding	86295	86326	31	the same length-prefix encoding	uint64be-prefixed UTF-8 fields,	QUN-a92bba2fe7a001992940b59b
e5bb5098ce484f0d561aa96f7bfe42c07adbd4a26e690dc2e22c4a057cc32c89	e52d6b0b8f2811c1c1b3ed1b339c4c85a45ac25e81e45537cc3e6158f76e7d41	1521	acceptance-placeholder-closure	90304	90468	164	self-review finds no TODO/TBD, unclassified or executable placeholder outside\n   the exact closed nonExecutable admission shapes and intentional scan nulls\n   above	self-review finds no TODO/TBD, unclassified or executable placeholder except in\n   two NCD shapes, exactly one scan-gate reuse, or\n   RecordShapeV1 scan-field nulls	QUN-b2fa74b8a27ac973dea7251e
e5bb5098ce484f0d561aa96f7bfe42c07adbd4a26e690dc2e22c4a057cc32c89	e52d6b0b8f2811c1c1b3ed1b339c4c85a45ac25e81e45537cc3e6158f76e7d41	1550	R2-admission-gates	92578	92658	80	every R2 change enters through the same source-admission,\nowner, and Wave gates.	every R2 change must clear A0 source admission and active-plan\nowner/Wave gates.	QUN-a975f8165328a05175d126d6
