ordinal	rule_id	source_locations_json
11	persistent-ledger-stale-head-race	["BehavioralAISubstrate/Sources/BASSovereign/BASSovereignAuditLedger.swift:522-523","BehavioralAISubstrate/Sources/BASSovereign/BASSovereignAuditLedger.swift:576-607","BehavioralAISubstrate/Sources/BASSovereign/BASSovereignLedgerStorage.swift:424-484","BehavioralAISubstrate/Sources/BASSovereign/BASSovereignLedgerStorage.swift:486-512","QinaoRuntimeSDK/Sources/QinaoSovereign/QinaoSovereign.swift:684-698","QinaoRuntimeSDK/Tests/QinaoRuntimeSDKTests/QinaoSovereignPersistentLedgerTests.swift:78-134"]
12	build.sql-schema-codegen-injection	["BehavioralAISubstrate/Plugins/BASSQLSchemaGen/Plugin.swift:84-103","BehavioralAISubstrate/Plugins/BASSQLSchemaGen/Plugin.swift:109-125","BehavioralAISubstrate/Sources/BASSQLSchemaGenTool/main.swift:51-74","BehavioralAISubstrate/Sources/BASSQLSchemaGenCore/BASSQLSchemaGenCore.swift:118-151","BehavioralAISubstrate/Sources/BASSQLSchemaGenCore/BASSQLSchemaGenCore.swift:236-259"]
13	tool.dispatch-missing-authorization	["BehavioralAISubstrate/Sources/BASOrgan/BASToolDispatcher.swift:43-54","BehavioralAISubstrate/Sources/BASOrgan/BASToolDispatcher.swift:129-135","BehavioralAISubstrate/Sources/BASOrgan/BASToolDispatcher.swift:203-243","BehavioralAISubstrate/Sources/BASOrgan/BASToolCallingPlanner.swift:279-309","BehavioralAISubstrate/Sources/BASOrgan/BASToolPromptRenderer.swift:61-73","BehavioralAISubstrate/Sources/BASOrgan/BASToolInvocationGate.swift:100-126","BehavioralAISubstrate/Sources/BASOrgan/BASToolDispatcher.swift:43-54","BehavioralAISubstrate/Sources/BASOrgan/BASToolDispatcher.swift:203-244","BehavioralAISubstrate/Sources/BASOrgan/BASToolCallingPlanner.swift:279-300","BehavioralAISubstrate/Tests/BehavioralAISubstrateTests/BASGatedToolLoopE2ETests.swift:28-46","BehavioralAISubstrate/Sources/BASOrgan/BASToolCallingPlanner.swift:246-252","BehavioralAISubstrate/Sources/BASOrgan/BASToolCallingPlanner.swift:287-300","BehavioralAISubstrate/Sources/BASOrgan/BASToolDispatcher.swift:225-244","BehavioralAISubstrate/Sources/BASOrgan/BASToolPromptRenderer.swift:61-74","BehavioralAISubstrate/Sources/BASOrgan/BASOrganTool.swift:176-205","BehavioralAISubstrate/Sources/BASOrgan/BASToolPromptRenderer.swift:61-73","BehavioralAISubstrate/Sources/BASOrgan/BASToolCallingPlanner.swift:182-209","BehavioralAISubstrate/Sources/BASOrgan/BASToolCallingPlanner.swift:285-304","BehavioralAISubstrate/Sources/BASOrgan/BASToolDispatcher.swift:129-135","BehavioralAISubstrate/Sources/BASOrgan/BASToolDispatcher.swift:207-225","BehavioralAISubstrate/Sources/BASOrgan/BASToolInvocationGate.swift:100-125"]
14	tool.batch-resource-exhaustion	["BehavioralAISubstrate/Sources/BASOrgan/BASToolDispatcher.swift:137-152","BehavioralAISubstrate/Sources/BASOrgan/BASToolDispatcher.swift:272-298","BehavioralAISubstrate/Sources/BASOrgan/BASToolDispatcher.swift:303-342","BehavioralAISubstrate/Sources/BASOrgan/BASToolCallingPlanner.swift:302-309","BehavioralAISubstrate/Tests/BehavioralAISubstrateTests/BASToolDispatcherTests.swift:185-223","BehavioralAISubstrate/Sources/BASOrgan/BASToolDispatcher.swift:137-152","BehavioralAISubstrate/Sources/BASOrgan/BASToolDispatcher.swift:272-298","BehavioralAISubstrate/Sources/BASOrgan/BASToolDispatcher.swift:303-342","BehavioralAISubstrate/Sources/BASOrgan/BASToolCallingPlanner.swift:279-300"]
15	cache.summary-unbounded	["BehavioralAISubstrate/Sources/BASHostKit/BASCognitiveBrain+Summary.swift:28-34","BehavioralAISubstrate/Sources/BASHostKit/BASCognitiveBrain+Summary.swift:120-159","BehavioralAISubstrate/Sources/BASHostKit/BASCxxBrainSummaryCache.swift:1-5","BehavioralAISubstrate/Sources/BASHostKit/BASCxxBrainSummaryCache.swift:81-90","BehavioralAISubstrate/Sources/BASHostKit/BASCxxBrainSummaryCache.swift:135-169","BehavioralAISubstrate/Sources/BASHostKit/BASCognitiveBrain+Construction.swift:175-207","BehavioralAISubstrate/Native/bas_mps_cache.cpp:89-103","BehavioralAISubstrate/Native/bas_mps_cache.cpp:156-178","BehavioralAISubstrate/Sources/BASHostKit/BASCognitiveBrain+Summary.swift:28-49","BehavioralAISubstrate/Sources/BASHostKit/BASCognitiveBrain+Summary.swift:142-159","BehavioralAISubstrate/Sources/BASHostKit/BASCxxBrainSummaryCache.swift:172-185","BehavioralAISubstrate/Sources/BASMPSGraphExecutableCacheCxx/bas_mps_cache.cpp:89-103"]
16	history.summary-usage-unbounded	["BehavioralAISubstrate/Sources/BASHostKit/BASCognitiveBrain+Summary.swift:142-159","BehavioralAISubstrate/Sources/BASHostKit/BASCognitiveBrain+Summary.swift:210-245","BehavioralAISubstrate/Sources/BASMemory/BASMemoryUsageTracker.swift:143-147","BehavioralAISubstrate/Sources/BASMemory/BASMemoryUsageTracker+SQLCore.swift:368-391","BehavioralAISubstrate/Sources/BASMemory/BASMemoryUsageTracker+SQLCore.swift:420-448","BehavioralAISubstrate/Sources/BASMemory/BASMemoryUsageTracker+SQLCore.swift:682-699","BehavioralAISubstrate/Sources/BASHostKit/BASCognitiveBrain+Construction.swift:175-207"]
17	evaluation.generated-code-unsandboxed	["BehavioralAISubstrate/Tools/qinao_local_eval/qinao_humaneval_paired.py:66-79","BehavioralAISubstrate/Tools/qinao_local_eval/qinao_humaneval_paired.py:81-105","BehavioralAISubstrate/Tools/qinao_local_eval/qinao_humaneval_paired.py:88-105","BehavioralAISubstrate/Tools/qinao_local_eval/qinao_sandbox.py:23-31","BehavioralAISubstrate/Tools/qinao_local_eval/qinao_humaneval_paired.py:66-105","BehavioralAISubstrate/Tools/qinao_local_eval/qinao_humaneval_paired.py:107-122","BehavioralAISubstrate/Tools/qinao_local_eval/qinao_sandbox.py:9-31","BehavioralAISubstrate/Tools/qinao_local_eval/qinao_humaneval.py:4-42","BehavioralAISubstrate/Tools/qinao_local_eval/qinao_humaneval_paired.py:92-105","BehavioralAISubstrate/Tools/qinao_local_eval/qinao_sandbox.py:23-31"]
18	evaluation.sandbox-overbroad	["BehavioralAISubstrate/Tools/qinao_local_eval/qinao_sandbox.py:9-20","BehavioralAISubstrate/Tools/qinao_local_eval/qinao_sandbox.py:23-31","BehavioralAISubstrate/Tools/qinao_local_eval/qinao_humaneval.py:23-42","BehavioralAISubstrate/Tools/qinao_local_eval/qinao_sandbox.py:9-20","BehavioralAISubstrate/Tools/qinao_local_eval/qinao_humaneval.py:40-42","BehavioralAISubstrate/Tools/qinao_local_eval/qinao_sandbox.py:9-19","BehavioralAISubstrate/Tools/qinao_local_eval/qinao_sandbox.py:23-31","BehavioralAISubstrate/Tools/qinao_local_eval/qinao_humaneval.py:36-42","BehavioralAISubstrate/Tools/qinao_local_eval/qinao_sandbox.py:13-19","BehavioralAISubstrate/Tools/qinao_local_eval/qinao_sandbox.py:23-31","BehavioralAISubstrate/Tools/qinao_local_eval/qinao_humaneval.py:37-45","BehavioralAISubstrate/Tools/qinao_local_eval/qinao_humaneval_paired.py:97-110"]
19	input.raw-input-precondition-trap	["BehavioralAISubstrate/Sources/BASOrgan/BASLLMTaskPackage.swift:50-53","BehavioralAISubstrate/Sources/BASOrgan/BASLLMTaskPackage.swift:73-94","SampleHost/SampleHostLLMExtractionDemoView.swift:190-201"]
20	authorization.public-control-plane-minting	["QinaoRuntimeSDK/Sources/QinaoRuntime/QinaoRuntime.swift:129-149","QinaoRuntimeSDK/Sources/QinaoRisk/QinaoRisk.swift:320-335","QinaoRuntimeSDK/Sources/QinaoSovereign/QinaoSovereign.swift:1137-1152","QinaoRuntimeSDK/Sources/QinaoRuntime/QinaoSovereignSnapshotProof.swift:18-32"]
21	authorization.halt-clear-without-recovery-capability	["QinaoRuntimeSDK/Sources/QinaoSovereign/QinaoSovereign.swift:932-959","QinaoRuntimeSDK/Sources/QinaoRuntime/QinaoRuntime.swift:268-279","QinaoRuntimeSDK/Sources/QinaoSovereign/QinaoSovereign.swift:981-1044","QinaoRuntimeSDK/Sources/QinaoRuntime/QinaoRuntime.swift:620-646","QinaoRuntimeSDK/Sources/QinaoDefaults/QinaoSovereignHostAssembly.swift:35-46"]
22	authorization.replay.processed-turn-eviction	["QinaoRuntimeSDK/Sources/QinaoSovereign/QinaoSovereign.swift:597-607","QinaoRuntimeSDK/Sources/QinaoSovereign/QinaoSovereign.swift:1025-1044","BehavioralAISubstrate/Sources/BASSovereign/BASSovereignLedgerStorage.swift:151-159","QinaoRuntimeSDK/Sources/QinaoSovereign/QinaoSovereign.swift:597-607","QinaoRuntimeSDK/Sources/QinaoSovereign/QinaoSovereign.swift:1005-1044","QinaoRuntimeSDK/Sources/QinaoSovereign/QinaoSovereign.swift:1086-1115","QinaoRuntimeSDK/Sources/QinaoDefaults/QinaoSovereignHostAssembly.swift:62-83","QinaoRuntimeSDK/Tests/QinaoRuntimeSDKTests/QinaoRuntimeM168WarmCacheTests.swift:118-140"]
23	integrity.release-gate-forgeable-artifacts	["BehavioralAISubstrate/Tools/qinao_local_eval/qinao_eval.py:138-153","BehavioralAISubstrate/Tools/qinao_local_eval/qinao_merge.py:68-96","BehavioralAISubstrate/Tools/qinao_local_eval/release_gate.py:51-62","BehavioralAISubstrate/Tools/qinao_local_eval/release_gate.py:100-117","BehavioralAISubstrate/Tools/qinao_local_eval/release_gate.py:218-248"]
24	supply-chain.unsafe-checkpoint-deserialization	["BehavioralAISubstrate/scripts/PhaseB_ContextClassifier/convert.py:66-76","BehavioralAISubstrate/scripts/PhaseB_ContextClassifier/convert_coreai.py:71-79"]
25	authorization.statelake-hot-cache-bypass	["BehavioralAISubstrate/Tools/mamba3_statelake.py:182-203","BehavioralAISubstrate/Tools/mamba3_statelake.py:205-221","BehavioralAISubstrate/Tools/mamba3_statelake.py:237-246","BehavioralAISubstrate/Tools/mamba3_statelake.py:195-220"]
26	data-protection.vector-index-storage	["BehavioralAISubstrate/Sources/BASMemory/BASSQLiteVectorIndexStorage.swift:122-153","BehavioralAISubstrate/DeviceTestApp/Sources/App/BASEnduranceAppRunner.swift:1122-1136","BehavioralAISubstrate/Sources/BASMemory/BASSQLiteMemoryAtomStore.swift:238-244"]
27	filesystem.predictable-evaluator-temp-paths	["QinaoRuntimeSDK/Sources/QinaoSampleHost/SampleHostAppleFMExtensions.swift:420-455","QinaoRuntimeSDK/Sources/QinaoSampleHost/SampleHostAppleFMExtensions.swift:462-466","QinaoRuntimeSDK/Sources/QinaoSampleHost/SampleHostAppleFMExtensions.swift:507-512","QinaoRuntimeSDK/Sources/QinaoSampleHost/SampleHostAppleFMExtensions.swift:420-432","QinaoRuntimeSDK/Sources/QinaoSampleHost/SampleHostAppleFMExtensions.swift:447-475","QinaoRuntimeSDK/Sources/QinaoSampleHost/SampleHostAppleFMExtensions.swift:507-512","QinaoRuntimeSDK/Sources/QinaoSampleHost/SampleHostAppleFMExtensions.swift:711-717","QinaoRuntimeSDK/Sources/QinaoSampleHost/SampleHostAppleFMExtensions.swift:420-432","QinaoRuntimeSDK/Sources/QinaoSampleHost/SampleHostAppleFMExtensions.swift:447-466","QinaoRuntimeSDK/Sources/QinaoSampleHost/SampleHostAppleFMExtensions.swift:595-603","QinaoRuntimeSDK/Sources/QinaoSampleHost/SampleHostAppleFMExtensions.swift:705-717"]
28	filesystem.evaluator-tag-path-traversal	["BehavioralAISubstrate/Tools/qinao_local_eval/qinao_eval.py:19-20","BehavioralAISubstrate/Tools/qinao_local_eval/qinao_eval.py:151-154","BehavioralAISubstrate/Tools/qinao_local_eval/qinao_merge.py:68-77","BehavioralAISubstrate/Tools/qinao_local_eval/qinao_merge.py:103-113","BehavioralAISubstrate/Tools/qinao_local_eval/qinao_humaneval_paired.py:130-136"]
29	integrity.constitution-vault-unverified	["BehavioralAISubstrate/Sources/BASMemory/BASHostConstitutionSQLiteStorage.swift:201-220","BehavioralAISubstrate/Sources/BASMemory/HostConstitutionCore.swift:648-657","BehavioralAISubstrate/Sources/BASMemory/HostConstitutionCore.swift:683-691","BehavioralAISubstrate/Sources/BASMemory/HostConstitutionCore.swift:1079-1107","BehavioralAISubstrate/Sources/BASHostKit/BASHostConstitutionVaultSovereignSeal.swift:236-245","BehavioralAISubstrate/Sources/BASMemory/HostConstitutionCore.swift:633-691","BehavioralAISubstrate/Sources/BASMemory/HostConstitutionCore.swift:1080-1155","BehavioralAISubstrate/Sources/BASMemory/BASHostConstitutionSQLiteStorage.swift:566-590","BehavioralAISubstrate/Sources/BASMemory/BASRoutedHostConstitutionVaultStorage.swift:257-309","BehavioralAISubstrate/Sources/BASHostKit/BASHostConstitutionVaultSovereignSeal.swift:19-33"]
30	integrity.ledger-key-regeneration	["QinaoRuntimeSDK/Sources/QinaoSample/SampleSovereignSpine.swift:158-170","QinaoRuntimeSDK/Sources/QinaoSovereign/QinaoSovereign.swift:748-769"]
31	integrity.audit-reload-lazy-verification	["BehavioralAISubstrate/Sources/BASSovereign/BASSovereignAuditLedger.swift:347-415","BehavioralAISubstrate/Sources/BASSovereign/BASSovereignAuditLedger.swift:659-690"]
32	resource-exhaustion.cognitive-graph-batch	["BehavioralAISubstrate/Sources/BASHostKit/BASCognitiveOSConvenience.swift:111-138","BehavioralAISubstrate/Sources/BASHostKit/BASCognitiveOSConvenience.swift:764-797","BehavioralAISubstrate/Sources/BASRuntimeCore/BASKnowledgeGraphEventExtractor.swift:248-264","BehavioralAISubstrate/Sources/BASHostKit/BASCognitiveOSConvenience.swift:111-138","BehavioralAISubstrate/Sources/BASHostKit/BASCognitiveOSConvenience.swift:485-521","BehavioralAISubstrate/Sources/BASHostKit/BASCognitiveOSConvenience.swift:764-810","BehavioralAISubstrate/Sources/BASRuntimeCore/BASKnowledgeGraphEventExtractor.swift:238-267"]
33	model-path-traversal	["BehavioralAISubstrate/Sources/BASMLXAdapter/MLXModelCatalog.swift:32-76","BehavioralAISubstrate/Sources/BASMLXAdapter/MLXOrganAdapter.swift:635-700","BehavioralAISubstrate/Sources/BASMLXAdapter/MLXOrganAdapter.swift:821-866"]
34	mcp-permit-self-assertion	["BehavioralAISubstrate/Sources/BASMemory/BASMCPCapabilityGateway.swift:76-117","BehavioralAISubstrate/Sources/BASMemory/BASMCPCapabilityGateway.swift:212-249","BehavioralAISubstrate/Sources/BASMemory/BASMCPCapabilityGateway.swift:251-325","BehavioralAISubstrate/Sources/BASOrchestration/BASAgentFabricAdapters.swift:199-325","BehavioralAISubstrate/Tests/BehavioralAISubstrateTests/BASChapter978Phase7CloseE2ETests.swift:51-60","BehavioralAISubstrate/Sources/BASMemory/BASMCPCapabilityGateway.swift:212-325","BehavioralAISubstrate/Sources/BASOrchestration/BASAgentFabricAdapters.swift:206-325","BehavioralAISubstrate/Sources/BASOrchestration/BASMCPInvocationAuditBridge.swift:177-243"]
35	a2a-attestation-self-assertion	["BehavioralAISubstrate/Sources/BASMemory/BASExternalAgentA2A.swift:48-110","BehavioralAISubstrate/Sources/BASMemory/BASExternalAgentA2A.swift:238-255","BehavioralAISubstrate/Sources/BASMemory/BASExternalAgentA2A.swift:262-325","BehavioralAISubstrate/Tests/BehavioralAISubstrateTests/BASChapter978Phase7CloseE2ETests.swift:271-286"]
36	audit-payload-manual-json-interpolation	["BehavioralAISubstrate/Sources/BASOrgan/BASFoundationModelsToolBridge.swift:276-324","BehavioralAISubstrate/Sources/BASOrgan/BASToolCallingPlanner.swift:319-335","BehavioralAISubstrate/Tests/BehavioralAISubstrateTests/BASToolBridgeAuditEventTests.swift:90-99"]
